保理	bao3 li3
比特币	bi3 te4 bi4
保险业	bao3 xian3 ye4
不雅视频	bu4 ya3 shi4 pin2
拔得头筹	ba2 de2 tou2 chou2
被困在	bei4 kun4 zai4
编者按	bian1 zhe3 an4
除草剂	chu2 cao3 ji4
串串香	chuan4 chuan4 xiang1
尝尝鲜	chang2 chang2 xian1
成份	cheng2 fen4
处警	chu3 jing3
触控屏	chu4 kong4 ping2
窗口期	chuang1 kou3 qi1
吃空饷	chi1 kong1 xiang3
场面上	chang3 mian4 shang4
程序化	cheng2 xu4 hua4
产学研	chan3 xue2 yan2
成员国	cheng2 yuan2 guo2
策展人	ce4 zhan3 ren2
参政议政	can1 zheng4 yi4 zheng4
督查组	du1 cha2 zu3
督导组	du1 dao3 zu3
第二次世界大战	di4 er4 ci4 shi4 jie4 da4 zhan4
担风险	dan1 feng1 xian3
党工委	dang3 gong1 wei3
当家作主	dang1 jia1 zuo4 zhu3
大咖	da4 ka1
点收	dian3 shou1
地税局	di4 shui4 ju2
帆板	fan1 ban3
反式脂肪	fan3 shi4 zhi1 fang2
仿真枪	fang3 zhen1 qiang1
歌唱家	ge1 chang4 jia1
轨交	gui3 jiao1
关联性	guan1 lian2 xing4
管辖权	guan3 xia2 quan2
固元膏	gu4 yuan2 gao1
黄标车	huang2 biao1 che1
获得者	huo4 de2 zhe3
豪礼	hao2 li3
豪言	hao2 yan2
舰载机	jian4 zai4 ji1
接受度	jie1 shou4 du4
节目组	jie2 mu4 zu3
近现代	jin4 xian4 dai4
决胜局	jue2 sheng4 ju2
控球率	kong4 qiu2 lv4
栏目组	lan2 mu4 zu3
棱镜门	leng2 jing4 men2
理事国	li3 shi4 guo2
联接	lian2 jie1
令人担忧	ling4 ren2 dan1 you1
平层	ping2 ceng2
评委会	ping2 wei3 hui4
普世	pu3 shi4
人民检察院	ren2 min2 jian3 cha2 yuan4
入校	ru4 xiao4
三驾马车	san1 jia4 ma3 che1
涉及面	she4 ji2 mian4
十七大	shi2 qi1 da4
示人	shi4 ren2
双选	shuang1 xuan3
万能险	wan4 neng2 xian3
网销	wang3 xiao1
文博会	wen2 bo2 hui4
稳中求进	wen3 zhong1 qiu2 jin4
问政	wen4 zheng4
乌塔卡	wu1 ta3 ka3
污水处理厂	wu1 shui3 chu3 li3 chang3
误国	wu4 guo2
戏剧节	xi4 ju4 jie2
想像	xiang3 xiang4
校企	xiao4 qi3
巡逻队	xun2 luo2 dui4
巡视组	xun2 shi4 zu3
堰塞湖	yan4 sai1 hu2
药企	yao4 qi3
一众	yi1 zhong4
议事日程	yi4 shi4 ri4 cheng2
异地高考	yi4 di4 gao1 kao3
硬生生	ying4 sheng1 sheng1
有轨	you3 gui3
预报员	yu4 bao4 yuan2
预售期	yu4 shou4 qi1
园博	yuan2 bo2
月球车	yue4 qiu2 che1
在售	zai4 shou4
侦查员	zhen1 cha2 yuan2
职业教育	zhi2 ye4 jiao4 yu4
制式	zhi4 shi4
重疾	zhong4 ji2
主客场	zhu3 ke4 chang3
追责	zhui1 ze2
咨询公司	zi1 xun2 gong1 si1
保税区	bao3 shui4 qu1
残奥会	can2 ao4 hui4
超极本	chao1 ji2 ben3
防辐射	fang2 fu2 she4
残奥会	can2 ao4 hui4
超极本	chao1 ji2 ben3
成活率	cheng2 huo2 lv4
处突	chu4 tu1
大总统	da4 zong3 tong3
残奥会	can2 ao4 hui4
超级本	chao1 ji2 ben3
成活率	cheng2 huo2 lv4
处突	chu4 tu1
大总统	da4 zong3 tong3
逮捕令	dai4 bu3 ling4
登海	deng1 hai3
电视剧版	dian4 shi4 ju4 ban3
电信版	dian4 xin4 ban3
碉楼	diao1 lou2
多米诺骨牌	duo1 mi3 nuo4 gu3 pai2
防辐射服	fang2 fu2 she4 fu2
公推	gong1 tui1
海监船	hai3 jian1 chuan2
核燃料	he2 ran2 liao4
花剑	hua1 jian4
换乘站	huan4 cheng2 zhan4
黄曲霉	huang2 qu1 mei2
汇报会	hui4 bao4 hui4
火星车	huo3 xing1 che1
监外执行	jian1 wai4 zhi2 xing2
交巡警	jiao1 xun2 jing3
交易性	jiao1 yi4 xing4
绿领巾	lv4 ling3 jin1
圈定	quan1 ding4
肉品	rou4 pin3
三冠王	san1 guan1 wang2
伤兵	shang1 bing1
挺举	ting3 ju3
突击队员	tu1 ji1 dui4 yuan2
小到中雨	xiao3 dao4 zhong1 yu3
小商	xiao3 shang1
演职人员	yan3 zhi2 ren2 yuan2
药补	yao4 bu3
引咎辞职	yin3 jiu4 ci2 zhi2
优胜者	you1 sheng4 zhe3
于世	yu2 shi4
制作者	zhi4 zuo4 zhe3
中秋国庆	zhong1 qiu1 guo2 qing4
重点实验室	zhong4 dian3 shi2 yan4 shi4
主攻手	zhu3 gong1 shou3
主委	zhu3 wei3
驻场	zhu4 chang3
抓举	zhua1 ju3
